,price
1278,"$2,599,000"
1279,"$680,000"
1280,"$1,095,000"
1281,"$3,500"
1282,"$1,695,000"
1283,"$799,000"
1284,"$1,048,000"
1285,"$1,995,000"
1286,"$2,795,000"
1287,"$2,995,000"
1288,"$545,000"
1289,"$575,000"
1290,"$525,000"
1291,"$2,195,000"
1292,"$1,149,000"
1293,"$1,695,000"
1294,"$11,750,000"
1295,"$995,000"
1296,"$1,995,000"
1297,"$949,000"
1298,"$1,275,000"
1299,"$1,150,000"
1300,"$960,000"
1301,"$565,000"
1302,"$1,100,000"
1303,"$715,000"
1304,"$2,250,000"
1305,"$300,000"
1306,"$1,799,000"
1307,"$789,900"
1308,"$1,550,000"
1309,"$1,050,000"
1310,"$1,099,000"
1311,"$799,000"
1312,"$1,495,000"
1313,"$2,095,000"
1314,"$3,300,000"
1315,"$819,000"
1316,"$1,449,000"
1317,"$998,000"
1318,"$4,185,000"
1319,"$995,000"
1320,"$394,000"
1321,"$400,000"
1322,"$1,318,000"
1323,"$998,000"
1324,"$925,000"
1325,"$625,000"
1326,"$995,000"
1327,"$5,250,000"
1328,"$2,750,000"
1329,"$868,000"
1330,"$978,000"
1331,"$799,000"
1332,"$510,000"
1333,"$400,000"
1334,"$7,200,000"
1335,"$729,000"
1336,"$3,895,000"
1337,"$1,825,000"
1338,"$899,000"
1339,"$4,645,000"
1340,"$2,599,000"
1341,"$680,000"
1342,"$1,095,000"
1343,"$3,500"
1344,"$1,695,000"
1345,"$799,000"
1346,"$1,048,000"
1347,"$1,995,000"
1348,"$2,795,000"
1349,"$2,995,000"
1350,"$545,000"
1351,"$575,000"
1352,"$525,000"
1353,"$2,195,000"
1354,"$1,149,000"
1355,"$1,695,000"
1356,"$11,750,000"
